,Image,person,bicycle,car,motorcycle,truck,traffic light,bench,dog,backpack,umbrella,handbag,suitcase,skateboard,teddy bear,YOLO_Tags
0,70.jpg,9,0,5,0,0,0,0,0,0,0,0,0,0,0,"9 person, 5 car"
1,84.jpg,8,0,4,0,0,1,0,0,0,0,0,0,0,0,"8 person, 4 car, 1 traffic light"
2,98.jpg,8,0,2,0,0,0,0,0,0,0,0,0,0,0,"8 person, 2 car"
3,112.jpg,7,0,2,0,0,0,0,0,0,0,0,0,0,0,"7 person, 2 car"
4,126.jpg,8,0,4,0,0,1,0,0,0,0,0,0,1,0,"8 person, 4 car, 1 traffic light, 1 skateboard"
5,140.jpg,8,0,3,0,0,1,0,0,0,0,0,0,1,0,"8 person, 3 car, 1 traffic light, 1 skateboard"
6,154.jpg,7,0,3,0,0,0,0,0,0,0,0,0,0,0,"7 person, 3 car"
7,168.jpg,5,0,3,0,0,0,0,0,0,0,0,0,0,0,"5 person, 3 car"
8,182.jpg,6,0,4,0,0,1,0,0,0,0,0,0,0,0,"6 person, 4 car, 1 traffic light"
9,196.jpg,5,0,2,0,0,0,0,0,0,0,0,0,0,0,"5 person, 2 car"
10,210.jpg,4,0,2,0,0,1,0,0,0,0,0,0,0,0,"4 person, 2 car, 1 traffic light"
11,224.jpg,4,0,5,0,0,1,0,0,0,0,0,0,0,0,"4 person, 5 car, 1 traffic light"
12,238.jpg,4,0,4,0,0,1,0,0,0,0,0,0,0,0,"4 person, 4 car, 1 traffic light"
13,252.jpg,5,0,2,0,0,0,0,0,0,0,0,0,0,0,"5 person, 2 car"
14,266.jpg,5,0,3,0,0,0,0,0,0,0,0,0,0,0,"5 person, 3 car"
15,280.jpg,4,0,2,0,0,1,0,0,0,0,0,0,0,0,"4 person, 2 car, 1 traffic light"
16,294.jpg,6,0,3,0,0,1,0,0,0,0,0,0,0,0,"6 person, 3 car, 1 traffic light"
17,308.jpg,5,0,2,0,0,1,0,0,0,0,0,0,0,0,"5 person, 2 car, 1 traffic light"
18,322.jpg,6,0,2,0,0,1,0,0,0,0,0,0,0,0,"6 person, 2 car, 1 traffic light"
19,336.jpg,5,0,3,0,0,1,0,0,0,0,0,0,0,0,"5 person, 3 car, 1 traffic light"
20,350.jpg,7,0,3,0,0,1,0,0,1,0,0,0,0,0,"7 person, 3 car, 1 traffic light, 1 backpack"
