,Image,RAM_Tags,YOLO_Tags,location,locationID,videoID,aggID
0,84.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 15 car, 1 traffic light",park,1,1,1100084
1,98.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,14 car,park,1,1,1100098
2,112.jpg,black | car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | park | road | street corner,"1 person, 8 car, 1 traffic light",park,1,1,1100112
3,126.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 13 car, 1 traffic light",park,1,1,1100126
4,140.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 9 car, 1 traffic light",park,1,1,1100140
5,154.jpg,car | city street | crack | crosswalk | curb | drain | drive | intersection | park | road | sedan | silver | street corner,"1 person, 14 car, 1 traffic light",park,1,1,1100154
6,168.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"13 car, 1 traffic light",park,1,1,1100168
7,182.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | park | road | street corner,"1 person, 9 car, 1 traffic light",park,1,1,1100182
8,196.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 9 car, 1 traffic light",park,1,1,1100196
9,210.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 4 car, 1 traffic light",park,1,1,1100210
10,224.jpg,car | city street | crack | curb | drain | drive | intersection | park | road | street corner | suv,"1 person, 9 car, 2 truck, 1 traffic light",park,1,1,1100224
11,238.jpg,car | city street | crack | curb | drain | drive | intersection | license plate | park | road | sedan | silver | street corner | suv,"2 person, 8 car, 1 truck, 1 traffic light",park,1,1,1100238
12,252.jpg,car | city street | crack | curb | drain | intersection | manhole | manhole cover | park | road | street corner,"1 person, 13 car, 1 traffic light",park,1,1,1100252
13,266.jpg,car | city street | crack | curb | drain | gray | intersection | park | plectrum | pick up | road | silver | street corner | truck,"2 person, 11 car, 1 truck, 1 traffic light",park,1,1,1100266
14,280.jpg,car | city street | crack | curb | drain | intersection | manhole cover | park | pick up | road | street corner | truck,"2 person, 7 car, 1 traffic light",park,1,1,1100280
15,294.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 14 car, 1 traffic light",park,1,1,1100294
16,308.jpg,bicycle | biker | bike lane | car | city street | crack | crosswalk | drain | person | intersection | man | manhole cover | ride | road | street corner,"2 person, 2 bicycle, 12 car, 1 traffic light",park,1,1,1100308
17,322.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 1 bicycle, 12 car, 1 traffic light",park,1,1,1100322
18,336.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 7 car, 1 traffic light",park,1,1,1100336
