,Image,RAM_Tags,YOLO_Tags
0,84.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 15 car, 1 traffic light"
1,98.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,14 car
2,112.jpg,black | car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | park | road | street corner,"1 person, 8 car, 1 traffic light"
3,126.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 13 car, 1 traffic light"
4,140.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 9 car, 1 traffic light"
5,154.jpg,car | city street | crack | crosswalk | curb | drain | drive | intersection | park | road | sedan | silver | street corner,"1 person, 14 car, 1 traffic light"
6,168.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"13 car, 1 traffic light"
7,182.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | park | road | street corner,"1 person, 9 car, 1 traffic light"
8,196.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 9 car, 1 traffic light"
9,210.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 4 car, 1 traffic light"
10,224.jpg,car | city street | crack | curb | drain | drive | intersection | park | road | street corner | suv,"1 person, 9 car, 2 truck, 1 traffic light"
11,238.jpg,car | city street | crack | curb | drain | drive | intersection | license plate | park | road | sedan | silver | street corner | suv,"2 person, 8 car, 1 truck, 1 traffic light"
12,252.jpg,car | city street | crack | curb | drain | intersection | manhole | manhole cover | park | road | street corner,"1 person, 13 car, 1 traffic light"
13,266.jpg,car | city street | crack | curb | drain | gray | intersection | park | plectrum | pick up | road | silver | street corner | truck,"2 person, 11 car, 1 truck, 1 traffic light"
14,280.jpg,car | city street | crack | curb | drain | intersection | manhole cover | park | pick up | road | street corner | truck,"2 person, 7 car, 1 traffic light"
15,294.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 14 car, 1 traffic light"
16,308.jpg,bicycle | biker | bike lane | car | city street | crack | crosswalk | drain | person | intersection | man | manhole cover | ride | road | street corner,"2 person, 2 bicycle, 12 car, 1 traffic light"
17,322.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 1 bicycle, 12 car, 1 traffic light"
18,336.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 7 car, 1 traffic light"
19,350.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 9 car, 1 truck, 1 traffic light"
20,364.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 11 car, 1 truck, 1 traffic light"
21,378.jpg,car | city street | crack | curb | drain | intersection | license plate | minivan | park | road | sedan | silver | street corner | suv | vehicle,"2 person, 12 car, 1 traffic light"
22,392.jpg,car | city street | crack | curb | drain | drive | intersection | minivan | park | road | street corner | suv | van | vehicle | white,"2 person, 10 car, 1 traffic light"
23,406.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 10 car, 1 traffic light"
24,420.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 11 car, 1 traffic light"
25,434.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 10 car, 1 traffic light"
26,448.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 12 car, 1 traffic light"
27,462.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 11 car, 1 traffic light"
28,476.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | road | street corner,"2 person, 10 car, 1 traffic light"
29,490.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 7 car, 1 traffic light"
30,504.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 13 car, 1 traffic light"
31,518.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 13 car, 1 traffic light"
32,532.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"1 person, 10 car, 1 traffic light"
33,546.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 9 car, 1 traffic light"
34,560.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 12 car, 1 traffic light"
35,574.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 11 car, 1 traffic light"
36,588.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 11 car, 1 traffic light"
37,602.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 11 car, 1 traffic light"
38,616.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 10 car, 1 traffic light"
39,630.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 9 car, 1 truck, 1 traffic light"
40,644.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 8 car, 1 truck, 1 traffic light"
41,658.jpg,car | city street | crack | crosswalk | curb | drain | person | intersection | manhole | manhole cover | road | street corner | walk,"2 person, 8 car, 1 traffic light"
42,672.jpg,car | city street | crack | cross | crosswalk | drain | person | intersection | manhole cover | ride | road | street corner | walk | woman,"1 person, 8 car, 1 traffic light"
43,686.jpg,car | city street | crack | cross | crosswalk | drain | person | intersection | man | manhole cover | ride | road | street corner | walk,"3 person, 11 car, 1 traffic light"
44,700.jpg,car | city street | crack | cross | crosswalk | curb | drain | person | intersection | man | manhole | manhole cover | ride | road | street corner | walk,"2 person, 12 car, 1 traffic light"
45,714.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner | walk,"2 person, 12 car, 1 traffic light"
46,728.jpg,car | city street | crack | cross | crosswalk | curb | drain | person | intersection | man | manhole | manhole cover | road | street corner | walk,"4 person, 10 car, 1 traffic light"
