,Image,person,bicycle,car,motorcycle,bus,train,truck,traffic light,parking meter,bench,dog,backpack,handbag,suitcase,frisbee,skateboard,surfboard,keyboard
0,84.jpg,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,98.jpg,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,112.jpg,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,126.jpg,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,140.jpg,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,154.jpg,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,168.jpg,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,182.jpg,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,196.jpg,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9,210.jpg,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,224.jpg,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,238.jpg,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,252.jpg,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,266.jpg,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,280.jpg,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,294.jpg,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,308.jpg,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,322.jpg,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,336.jpg,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,350.jpg,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,364.jpg,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,378.jpg,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,392.jpg,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,406.jpg,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,420.jpg,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,434.jpg,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,448.jpg,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,462.jpg,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,476.jpg,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,490.jpg,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,504.jpg,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
